title,description,department_id,number,course_id
Taxi Driver and/in American Film History,"A key work of the modern American cinema, Martin Scorsese&#39;s TAXI DRIVER will be closely examined from a variety of approaches: &nbsp;in terms of film history, both US and international; in relation to genre; with regards to the historical moment of its release, especially the end of the Vietnam War; in connection with parallel movements in the visual arts, such as photo-realism. &nbsp;The seminar will work together to prepare a highly detailed, shot-by-shot breakdown and analysis of the film.",56,FRSEMR 30F,13038
Fictions of War,"This seminar will focus on landmark works of fiction (in English) that grapple with&nbsp; individual experiences and social consequences of major wars involving the U.S.&nbsp;&nbsp; Military confrontations are immensely destructive but, as human enterprises, they also produce culture.&nbsp; The seminar will investigate how modern soldiers have represented the aims and outcomes of the field of war in fiction.&nbsp; More inclusively, it will examine both the intentional and unintentional cultural work of war. The seminar&#39;s title is deliberately ambiguous, also allowing for the implication that nations construct fictions about aims or enemies in order to galvanize their people to wage war.",56,FRSEMR 30C,13057
Living on the edge: imagining the unknown in ancient ethnography,"This course explores how ancient Greeks and Romans thought about the edges of the known world. We will examine ancient accounts and images of people, cultural practices, and geography at the margins of western experience, and try to understand how such stories developed. Topics include maps, ethnocentrism, Orientalism, Roman triumphal processions, and science fiction. Our discussions will regularly draw on comparable ways of constructing the unknown in modern American culture.",56,FRSEMR 30H,13051
Performing French Theater Across Time and Media,"This seminar aims to help students, including those who are genuine novices in acting, to understand and experience theater as a form of physical expression that evolve as aesthetic and social contexts change across time. Readings include the most famous French playwrights of both the early modern age (Moli&egrave;re, Corneille, Racine) and the later twentieth / early twenty-first centuries. Special emphasis is paid the transformative power of performance and the development of the students&rsquo; acting skills through practical workshops and videos of recent productions. The final project consists of an excerpt to be performed in French or bilingual format.",56,FRSEMR 30R,13080
"Food, Climate, and Data","We will explore the implications of interacting trends in population, diet, and climate for food security.&nbsp; The course begins with some background literature on food security, initially juxtaposing Malthus and Boserup, and then moving to Sen.&nbsp; The primary focus, however, is a data-driven exploration of food security through analysis of weather, climate, demographics, and yield.&nbsp; Specific questions that we will empirically address are how temperature and precipitation influence yield outcomes?&nbsp; Can agriculture be adapted to a changed climate?&nbsp; How will demographics and diet shift in the coming decades?&nbsp; Will the green revolution continue to yield steady increases?&nbsp; And can we predict famine?",56,FRSEMR 21D,13305
Medical Technologies in Historical Perspective,"The course examines the ways in which various medical technologies shaped and were shaped by physician and nurse practices and goals as well as ideas about patient care in American medicine from the 19th-century to the present. We will look at how the meanings attached to medical technologies grew out of specific historical, social, political and medical contexts. Medical technologies examined include: imaging machines; clinical, diagnostic and genetic tests; reproductive technologies; and artificial organs.",76,HISTSCI 144,13018
Introduction to Buddhism,"A study of the major themes of Buddhist thought and practice, beginning with the origins of the tradition in India and exploring the transmission and development of the tradition in Southeast Asia, Tibet, East Asia, and the modern West. Important themes include the concepts of reincarnation, karma, and nirvana; the legend of the Buddha, Siddhartha Gautama; the nature of the self; the education of the emotions; and the possibility of liberation. The course will focus on scriptural, literary, and philosophical classics of Buddhist tradition, but it will also consider the tradition of Buddhist art and the formative rituals in Buddhist life, such as meditation, pilgrimage, and monastic discipline.&nbsp;Throughout the course we will consider the relevance of this material to our own views of the world and how we should lead our lives. Note that the course has additional section hour to be arranged.",160,RELIGION 74,13028
The Christian Bible Then and Now: Formations and Debates,"Politicians, writers, religious leaders, and others today make arguments using the Bible, whether leading with the clause &ldquo;The Bible says. . .&rdquo; or through allusions to or quotations of the Bible. Together in this seminar we&rsquo;ll learn and practice the analytical tools for addressing such claims. The seminar explores ancient and modern formations and uses of the Christian Bible, including ancient processes of canonization. It also explores how the Bible has been mobilized recently in the U.S. to address issues of sex and sexuality, economics, ecology, race, and slavery.",56,FRSEMR 32C,13286
Happiness,"What is happiness?&nbsp; To what extent is our own happiness under our control, and what are the causes and consequences of happiness?&nbsp; Is happiness important for living a good and successful life?&nbsp; How does the pursuit of personal happiness interact with our obligations to others?&nbsp; In this seminar we will work toward answering these and other questions by analyzing recent work from both philosophy and psychology.&nbsp; Our goal is to construct a unified picture of happiness that incorporates what is best from both disciplines but appropriately takes into account various challenges that each has posed for the other.",56,FRSEMR 31H,13045
Gregorian Chant,"Introduction to medieval chant. Medieval Latin church music, usually called Gregorian Chant, is the oldest surviving repertory of music in western culture, and is still sung today. We will consider the function of chant in medieval society, and the role of chant in ritual and liturgy. Members of the seminar will be expected to sing, but no previous experience or knowledge of notation is required. We will examine manuscript in the Houghton Library. We will study the musical aspects of a few pieces in great detail, and will come to know the great variety and artistry of this timeless repertory.",56,FRSEMR 31L,13053
Guilty until Proven Innocent. Finding Justice and Truth in the Middle Ages,"Diving into the world of medieval law and rituality, students will discover the &ldquo;Real Game of Thrones&rdquo;. We are going to explore concepts of justice and law, encompassing the first written laws from the time of the so-called Barbarian Invasions, Church law, and reminiscences of pre-Christian rituals. The place of the divine in search of truth and justice, of women in a male-dominated culture, of Jews in a world ruled by Christian sovereigns will be analyzed in particular. Students will work with primary sources in order to elucidate the ways in which truth and justice were searched and established.",56,FRSEMR 31R,13857
"Sex, Technology, and Trump: What Lies Ahead for The Constitution","Donald Trump&rsquo;s unexpected victory on November 8th represents a seismic shift that may soon affect&mdash;even during this semester&mdash;subjects including separation of powers, federalism, immigration, corruption, religious freedom, and freedom of speech: in short, all things constitutional. Yet, as unpredictable as the future may be, the decisions of the executive branch and the electorate remain constrained, at least in theory, by a legal system built on a Constitution that emerged from the social and political conflicts of eras long past. Students entering the Class of 2020 weren&rsquo;t alive when civilization-ending military conflagration seemed a real possibility, or when an American president was driven from office because of a scandal linked to hacking the opposing candidate&rsquo;s private information. Today&rsquo;s students cannot easily recall a time before the terrorist attacks of 9/11 and the global responses they triggered. Nor can they imagine a world before the internet, social media, and interactive videogames, a world not immersed in images of sex and violence&mdash;a time more innocent, perhaps, yet in many ways more repressive. Social and cultural revolutions have upended the pace of political upheaval and conventional understandings of family, sexuality, and intimacy. Economic dislocation and a sense of exclusion have disrupted partisan affiliations. Scientific revolutions and technological innovations have provided new opportunities for communication and connection even as they have created new mechanisms for surveillance, profiling and control&mdash;at once improving democratic accountability and yet strengthening the state&rsquo;s grip and the prospects for tyranny. Adapting the words of this Constitution and the values it embodies requires analyzing the blend of politics and law practiced in and by the United States Supreme Court and influenced by popular culture and political discourse. This seminar, drawing on judicial opinions and secondary sources, will explore how our most basic legal framework, that of the U.S. Constitution and the law surrounding its interpretation and implementation, shapes and is shaped by modern forces battling for the character of the national soul.",56,FRSEMR 40F,13806
Personal Agency and Social Networks,"The study of social networks is vast, involving everything from the structure of ties among Facebook friends to the process through which people decide whom to ask for help. In spite of the popularity of social media and recent attention to network data by businesses, the study of networks has a long- standing history, with important contributions by anthropologists, sociologists, and psychologists dating back to as early as the 1930s. This course examines two questions in that vast body of work&mdash;how people&rsquo;s behavior is affected by their networks and how they make decisions about how to use their networks.",56,FRSEMR 40R,13856
Animals and Ethics,"Do human beings have moral obligations to the other animals? If so, what are they, and why?&nbsp; Should or could non-human animals have legal rights? Should we treat wild and domestic animals differently? Do human beings have the right to eat the other animals, raise them for that purpose on factory farms, use them in experiments, display them in zoos and circuses, make them race or fight for our entertainment, make them work for us, and keep them as pets? We will examine the work of utilitarian, Kantian, and Aristotelian philosophers, and others who have tried to answer these questions.",122,PHIL 174A,13295
Well-Being,"What makes someone&#39;s life go well? Is it pleasure, desire, satisfaction, or something else? How should questions of well-being bear on one&#39;s reasoning about what to do, and on one&#39;s relations with other people? Can you assess your well-being by evaluating parts of your life individually, or does it depend on the shape of your life as a whole? Readings will include work by Richard Kraut, Derek Parfit, T. M. Scanlon, J. David Velleman, and Susan Wolf, among others.",122,PHIL 171,13871
Love and Inner Conflict,"The most important feature distinguishing human beings from other animals is generally supposed to be a capacity for reasoning &ndash; about how things are, but also about what to do. It is clear, however, that no account of intentional human action that restricts itself to reasoning will be adequate. Much of what we do seems to be the outcome of some kind of inner struggle or conflict about what to do, or (in the more momentous cases) which path in life to follow, and sometimes we act in ways we know to be &lsquo;contrary to reason&rsquo;. It is not at all clear what&rsquo;s really going on when this happens.Plato (428-348 BCE), Augustine (354-430 CE) and Freud (1856-1939) offer especially interesting and plausible accounts of such inner conflict. In their different ways, they each understood such conflict in terms of the soul&rsquo;s having parts, or distinct faculties. They are also alike in positing a fundamental but highly plastic force in the soul, in terms of which its development or deformation, including its division into parts, can be understood. They all called this force love, although it is not straightforward what they meant, or whether they meant the same thing, by calling it that.In this course, we will look at these theories of the composite, love-driven psyche as expressed in various of their works, such as Plato&rsquo;s Gorgias, Symposium and Republic, Augustine&rsquo;s Confessions and De Trinitate, and Freud&rsquo;s The Interpretation of Dreams and The Ego and the Id. The aim is to achieve some understanding, not only of the theories, but also of the phenomena they are theories of.",122,PHIL 21,13349
Self-Consciousness and Self Knowledge: Proseminar,"Many of the most interesting and puzzling features of the mind are connected with the fact that each of us seems to have a special perspective on his or her own mind, a perspective that gives us a distinctive awareness of ourselves &ldquo;as subject, not mere object&rdquo; and a distinctive knowledge of our own mental lives &ldquo;from the first person perspective&rdquo;.&nbsp; We will consider the nature of such self-consciousness and self-knowledge, and also some striking ways in which we can be unknown to ourselves.",122,PHIL 158X,13833
Responsibility,"Forms of responsibility, and various views of the conditions under which a person can be responsible in these ways.",122,PHIL 178S,13835
Religious Liberty: Contested American Stories,"This course considers the long history of the United States&#39; engagement with the ideal of religious liberty. From the Puritans&#39; conception of liberty as the freedom to hold correct beliefs, through Native American efforts to preserve sacred practices, to the current debates over the philosophical impossibility of true religious equality and over the &quot;religious freedom restoration acts&quot; emerging in various states, the course will move across the full sweep of American history on the topic. It examines both the structural relationship of church and state - at the federal and local levels - as well as more diffuse cultural attitudes. It combines scholarly literature, primary sources and students&#39; original research.",160,RELIGION 51,13307
The Body in Christian Thought,"The course offers an introduction to Christian ideas about the body, by considering central teachings and areas of debate&lsaquo;including understandings of creation, incarnation, healing, and resurrection. Texts include early Christian literatures, Patristic and medieval texts, Reformation theologies, as well as modern and contemporary authors. The course will help students understand the distinctiveness and diversity of Christian positions on these topics.",160,RELIGION 58,13040
Beginnings: Prefaces and Exordiums in Classical Persian Literature,"Readings from major Persian poetic and prose works from the 10th to the 15th century, with a focus on prefaces and exordiums. Spanning across genres, from epic, lyric and narrative verse to didactic andarz, scientific treatise and historiography, the course will explore the various possible openings of classical Persian texts and survey the functions and techniques of literary thresholds. Authors will include Ferdowsּ_וÛּ_ּ__ּ_והו־וג, Keykaּ_וÛוּּ_והּ_ּ__vuּ_וÛוּּ_והּ_ּ__s, Neּ_וÛו־ּ₪ּ_והו־_ּ_והּ_ּ_ֲּּ_וÛּ_ּ__ּ_והו־וmּ_וÛּ_ּ__ּ_והו־וג, Joveyniּ_וÛוּּ_והּ_ּ__, Rּ_וÛּ_ּ__ּ_והו־וגmּ_וÛּ_ּ__ּ_והו־וג and Jּ_וÛּ_ּ__ּ_והו־וmּ_וÛּ_ּ__ּ_והו־וג.",115,PERSIAN 155,13138
Classical Persian Poetics and Rhetoric,"This course explores the development of Persian literary theory from the 11th&nbsp;century onwards, with readings from the major authors who shaped the technical (Raduyani, Rasid al-Din Vatvat, Sams-e Qeys-e Razi, Hoseyn Vaez-e Kasefi), didactic (Keykavus, Nezami Arudi) and philosophical (Nasir al-Din Tusi, Jami) trends in classical literary scholarship. Students will become acquainted with the tools and concepts of literary analysis developed in pre-modern Iran and exert their skills through the practice of close reading and discussion of select literary material.",115,PERSIAN 251,13339
Drawing Room: Space as Framework,"This studio course aims to further basic drawing skills with intention and purpose while expanding how we see the world around us.&nbsp;Using&nbsp;conventional drawing methods as a starting point, we will explore the potential of depicting&nbsp;space,&nbsp;both literally and metaphorically. Examining landscape, objects, buildings and interiors, students are encouraged to consider their relationship to the physical, conceptual and emotional spaces they inhabit. Finding&nbsp;inspiration from both contemporary art practices and architecture itself, assignments will delve into abstract and conceptual principles, and introduce specialized systems of rendering and notation.&nbsp;",162,VES 11A,13342
Sweet and Sour: A Taste of Persian Literary and Visual Culture,"Introduction to some of the most significant aspects of Persian Culture, explored through the notion of &ldquo;sweet-and-sour&rdquo; (torsh-o shirin). Borrowed from the realm of food and cookery, the idiom refers to a dominant flavor in Persian cuisine. Yet, it may also express the conflicting nature of human experience or the savory contrasts at play in works of art and craft. This course examines the paradigm of taste and its role as an aesthetic and anthropological criterion in pre-modern and modern Persian culture. From the pickles market in Hamadan and Avicenna&rsquo;s Canon of Medicine to Nezami&rsquo;s romance Khosrow-o Shirin and Abbas Kiarostami&rsquo;s Taste of Cherry, we will survey a wide array of material from literature, iconography, cinema and the culinary arts.",115,PERSIAN 165,13830
Modern Persian Poetry and Prose,The course focuses on the reading and understanding of a selection of texts from various genres within the corpus of modern Persian poetry and prose. Students will become acquainted with the major actors of the early Iranian literary modernity (late 19th - early 20th century) through a selection of excerpts drawn from their literary as well as theoretical output. The detailed understanding of the language at play among Iranian modernists will complement the study of the context and literary significance of these texts.,115,PERSIAN 158,13827
"Persuasive Projections: Film, Video, and Moving-Image Installation","This is an introductory course in experimental video and film art, as well as forms of installation that incorporate the moving image. Screenings will include works by Andy Warhol, Bruce Nauman, and Yvonne Rainer, as well as hand-made animation and non-art sources such as film noir and television; all types of moving-image media will be part of the class&rsquo;s expanding brainstorm. Students will create individual projects that develop skills in lighting, camera, editing, and sound.",162,VES 67R,13029
New Waves,"This studio course invites students to create projects using new genres media such as film, video, installation, performance, actions, time, protest, and other nontraditional processes. Projects using materials such as printmaking and sculpture are also encouraged. We will develop individual projects through discussions, arguments, visiting artists, and field trips. A history of conceptual and performance art from 1950-present will be traced. The goal is to emphasize the development of artistic ideas by broadening and challenging students&rsquo; investigations.",162,VES 137,13831
Introduction to Political Sociology,"Politics is about power and authority. But the production, conservation and distribution of power and authority occur far beyond Capitol Hill: in family dynamics, neighborhood residential patterns, racial discrimination, welfare policies, social movements, nation-states and the globalized economy. So how is power exerted? Where is it, and how is it gained and lost? How do power centers get challenged? In this course, we examine such questions using the conceptual framework and analytic tools of political sociology. Major themes will include the nation-state and its challengers, capitalism, democracy, and globalization. Abstract, theoretical works are explored with practical applications and illustrations in specific national/historical contexts. Students will also become aware of criticisms and debates in political sociology &ndash; as well as its limitations.",137,SOCIOL 23,13077
Ancient Christian Martyrdom and Its Modern Legacy,"The varied ways in which ancient Christians represented persecution in the Roman empire has left a rich and sometimes troubling legacy for the modern world. Their struggles are documented in stories of torture and public execution, revelations from God, treatise exhorting believers to confess, and polemics against fellow Christians who thought otherwise. Some advocated suffering and demonized their opponents, others ascetic withdrawal, pacifism, silent endurance, or even living well as the best witness to God. In the aftermath, they agonized over how to heal traumatized communities. This course will examine this literature and its legacy for contemporary issues such religious (in)tolerance, torture, and what it means to be fully human.",160,RELIGION 441,13058
American Economic Fictions,"This course considers the culture of American capitalism through an examination of a range of literary and historical texts.&nbsp; As we explore the shifts in thinking about class, labor, business, and money from the early days of the republic through the present, we will ask how a wide variety of cultural producers engage with and critique economic thought.",73,HIST-LIT 90BK,13122
American Memorials from Slavery to September 11,"This course will investigate the role memorials play in society and examine the politics of memory in order to better understand the dynamic nature of creating meaning in the past and present from American monuments. We will broaden our conception of monuments beyond stone statues to include museums, national parks, music, art, film and the web. Movies and viewings of local memorials will supplement our seminar experience.",73,HIST-LIT 90BL,13046
Sports and Empire,"Why do American sports differ from the rest of the world?&nbsp; How did soccer become a global sport?&nbsp; What explains the distribution of cricket and rugby around the world?&nbsp; Are sports a form of cultural imperialism?&nbsp; This course will explore these questions (and more) as we examine the connection between sports and imperialism.&nbsp; Themes we will cover include race, class, gender, professionalism, and commercialization.&nbsp; Readings include rule books, novels, poems, periodicals, memoirs, and films.",73,HIST-LIT 90BO,13266
"National Bodies, Public Health","This course explores the relations among health, the body, and the US nation at the turn of the twentieth century. These years witnessed profound transformations in the national economy and international politics; in debates about the meanings of race, class, and gender; and in shifting understandings of health and disease. Against this backdrop, we will draw on readings from across the disciplines to ask how biological, social, and cultural ideas about bodies became central to US national identity.",73,HIST-LIT 90BP,13073
Early Modern Encounters,"This course explores the dynamic and diverse movement of people, texts, ideas, and objects across the world during the early modern period (1300-1800). Each week approaches global exchanges through a case study of a local cross-cultural encounter from the Americas and Asia to Africa and Europe. The course will examine diverse topics like the Renaissance, Confucianism, the Age of Discovery and art, material culture, cosmopolitanism and travel, Islamic music, and the environment from historical, literary, and digital perspectives.",73,HIST-LIT 90BQ,13120
Cultures of Commodity Production Across the Americas,"This seminar uses social and cultural approaches to explore the history of Latin American and Caribbean commodity production, from silver to cocaine. Drawing on historical texts, poetry, fiction, and film (all translated into English), we will study the communities created by those who mined, planted, harvested, and labored in the region&rsquo;s major export industries. This course challenges us to consider the socio-cultural implications of wider economic and trade processes.",73,HIST-LIT 90BR,13626
We Are the World,"How did we come to think that everybody living everywhere might count as our fellow citizens? Since 1989, a long-term canon in philosophy has emerged, casting &ldquo;cosmopolitanism&rdquo; as long-brewing since the time of the Greeks, running through Immanuel Kant, into our own day, as a new theory called &ldquo;global justice&rdquo; prevailed. We will revisit this canon as intellectual historians, attempting to reconcile it with how sudden the turn to global justice in our own age of globalization and human rights has been, and how the specter of power has always haunted the most grandiose moral visions.",56,FRSEMR 32D,13650
German Literature and Philosophy,"In this seminar students are introduced to exemplary works of philosophy and literature in the German tradition across 200 years of revolutions, wars, and social crises. Focus is on the significance of human life, desire, and knowledge, on the limits of abstraction and the infinite nuances of individual love, passion and anxiety. Participants will acquire skills in literary interpretation and philosophical argumentation, while becoming intimately familiar with shifting historical, social and cultural contexts. Above all, the seminar will teach students how to formulate innovative, probing, and fruitful questions, and thereby impart a capacity to engage critically with masterful texts.",56,FRSEMR 32F,13037
The <i>Annals</i> of Tacitus,"The seminar will focus on the Annals in their historiographical, stylistic, narratological, and ideological contexts.",153,CLASPHIL 232,13085
Feuding and Peacemaking in Viking Age Iceland (c.870 to c.1150 C.E),"Settled primarily by people from the Scandinavian mainland, Viking Age Iceland (c.870 to c.1150 C.E.) was a stateless society with a highly sophisticated legal culture but without public officials to adjudicate disputes, enforce the law, or punish legal violations.&nbsp; The main sanctions against wrongdoing were monetary compensation, vengeance, feuding, and outlawry. To understand how this complex but unstable legal order was maintained and how competition for honor and power was kept within bounds, the seminar uses close readings, written analyses and class discussions of Icelandic family sagas, poems, historical narratives, and legal texts to study feuding and peacemaking, honor and shame, anger and hatred, kinship and marriage, gender, chieftaincy and clientage, gift-giving and plundering.&nbsp; It gives particular attention to the politics and group psychology of violent revenge and the roles of both men and women in containing it. By studying these topics in a medieval Icelandic context, the course also introduces students to subjects of ongoing research and controversy among historians of early Europe and to the social theories and paradigms that underlie their work.&nbsp; The course presupposes no previous knowledge of medieval history or literature.",56,FRSEMR 41F,13262
Oceans and Culture,"From the coasts of the Mediterranean to New England, from the islands of Oceania to the formerly vast British Empire, many cultures are shaped by the waters that surround them.&nbsp; Drawing on ethnographies of maritime cultures as well as historical accounts, literature, films, Harvard&rsquo;s museums and libraries (e.g., Peabody Museum, Map Library, Collection of Historical Scientific Instruments), and visits to the USS Constitution (&ldquo;Old Ironsides&rdquo;), the seminar explores how different cultures make use of the sea (and how maritime engagements shape cultures), through navigation, maritime exploration, cartography, fishing, trade, colonization, technologies of ship building, principles of maritime law, and naval power.",56,FRSEMR 41C,13631
European and American Pop Art 1955-1975,"The seminar will introduce undergraduate students to some of the key moments in the history of international Pop Art, from 1955-1975, from Richard Hamilton in Great Britain and the New Realists in Paris to Jasper Johns, Robert Rauschenberg and Andy Warhol in New York and Ed Ruscha in Los Angeles. While the historical accounts of how a mass cultural iconography defined artistic production at that&nbsp;&nbsp; time will be the major project of the seminar, some of the key theoretical questions concerning the relationship between avant-garde and mass culture in the twentieth century will be addressed as well.",56,FRSEMR 32H,13027
Economic Justice,"Capitalism organizes society around individual pursuits of material gain. Capitalism seems to have won the great ideological struggle with other ways of organizing society. But there is much discontent: the Occupy Movement made clear that even Americans now care about excessive inequality, and many worry about the future in an increasingly economically divided society where access to technology richly rewards some to the exclusion of many others. Capitalism is also closely associated with what is arguably the biggest policy problem of the 21st century: climate change. So how can we justify capitalism? And what are feasible alternative ways of organizing society?",60,ETHRSON 41,13517
Research Workshop in American Politics,"A forum for the presentation and discussion of research in progress by graduate students (second year and above), faculty, and visiting scholars. Anyone working on contemporary American politics or on US political development welcome. Occasional presentations by invited speakers. Part two of a two-part series; students must complete both terms of this course (parts A and B) within the same academic year in order to receive credit.",70,GOV 3004B,13492
Research Workshop in Comparative Politics,"The workshop offers advanced graduate students an opportunity to present their work-in-progress, benefit from critiques of it, and discuss theoretical and methodological issues.&nbsp;Part two of a two part series.&nbsp;Students must complete both parts of this course (parts A and B) within the same academic year in order to receive credit.\t&nbsp;",70,GOV 3006B,13668
The Politics of the Environment in Asia,"Scholars have noted the connection between environment and specific forms of Asian politics and society. Today China reengineers the flow of its rivers to address social demands for water. South &amp; Southeast Asian polities realize how politics beyond their borders can determine the flow of the region&#39;s rivers--and thus the health of their societies. The dangers of poor air quality, polluted land, and contaminated food energize social movements and unrest.&nbsp; Asian development models have resulted in extreme pollution, and with resulting public health problems, governmental attention to the environment has increased. In this research seminar students will explore &quot;politics and environment&quot; in Asia, with some attention being given to the future.",136,SOC-STD 98OK,13035
Decolonizing Development in Africa,"This course asks how development has shaped decolonization on the African continent. &nbsp;We interrogate antinomies of African &ldquo;tradition&rdquo; and &ldquo;modernity&rdquo; that inform development processes and interventions, notably through legacies of liberal state-making, divisions of labor and economic value, and the management of impoverished populations. &nbsp;Rather than approaching these worlds as without history or innovation, the course tracks their complex interactions with new technologies and infrastructures of belonging, work, and identity. &nbsp;Through social theory and ethnography, we attend to the impact of post-colonial development in the making of the current world order. &nbsp;",136,SOC-STD 98OR,13068
Honest Lies and Deceptive Truths: Modernity and the Politics of Transparency,"The idea that transparency, or truth in politics, is both an unequivocally good objective, and an attainable one, is now commonplace. The modern period of political thought, by contrast, presents startlingly different evaluations of, and approaches to, transparency. &nbsp;Drawing on the work of Machiavelli, Hobbes, and Rousseau, this course explores the politics of verity and falsity as each relates to questions of 1) epistemology 2) methodology and 3) rhetoric. &nbsp;In so doing, the course offers a historical lens through which to reconsider, and potentially critique, contemporary notions of political transparency. &nbsp;",136,SOC-STD 98OS,13229
Poverty and Development in Latin America,"This course explores how development theories and practices have shaped history, politics, and the dynamics of everyday life in Latin America. We consider Latin America&rsquo;s colonial legacy, the effects of modernization and dependency theories, and ideals of democratic development. Coupling in-depth ethnographies with readings from development theorists, topics we cover include: systemic inequality, citizenship, indigenous rights, environmentalism, healthcare, microcredit, state violence and insecurity.&nbsp;",136,SOC-STD 98OT,13100
Riots and Uprisings,"This course examines the role of riots and uprisings in social, economic, and political change. &nbsp;Twenty-first century governance has been characterized by a fracturing of state sovereignty and economic crisis in many parts of the globe, which have given rise to new forms of collective action, configurations of labor, and understandings of the material world. &nbsp;We ask how activist networks, crowds, and insurgencies are reshaping long-standing distinctions between law and illegality, privacy and publicity, formal and informal markets, state and non-state spaces, especially under conditions of stark inequality. &nbsp;Through contemporary theory, ethnography, and digital media methods, we focus on unrest over health, safety, and the environment.",136,SOC-STD 98PA,13505
Global Slums,"This course investigates &ldquo;the slum&rdquo; as a social product, an icon of disorder, and a setting for diverse cultures and modes of sociality. By comparing ethnographic case studies of slums from around the world, we explore how slums emerge at the intersection of global inequalities, state planning, and the insurgent practices of the poor. Topics we cover include: rural-urban migration, spatial segregation, housing and infrastructure, informal markets, sustainability, and urban social movements.",136,SOC-STD 98PB,13486
Practicing Democracy,"Making democracy work requires an &ldquo;organized&rdquo; citizenry with power to assert its interests effectively. Yet US political participation declines, growing more unequal, as new democracies struggle to make citizen participation possible. Students learn to address public problems by organizing: developing leadership, building community, and mobilizing power. Our pedagogy links sociological, political science, and social psychology theory with democratic practice.",136,SOC-STD 68AB,13322
"Education and Community in America: Universities and Community Engagement, 1890-2016","Explores efforts to realize the civic purpose of American universities,particularly in terms of attempts to engage local communities througheducational outreach programs. Examines major periods of experimentationand innovation in the 20th and 21st centuries, from the settlement housemovement of the early 1900s to recent efforts to revive the public missionof universities through service-learning and other forms of civiceducation. This&nbsp;course is an activity-based learning course, limited to students who are&nbsp;concurrently participating in education-related service programsaffiliated with Harvard. Class discussions and assignments will makeactive links with students&#39; service work. Enrollment capped at 12.",136,SOC-STD 68EC,13059
The Chinese Immigrant Experience in America,"Uses the history of Boston&rsquo;s Chinatown as a case study to examine the experiences of Chinese immigrants in the U.S. from the 1880s until the present. Employs historical, anthropological, and sociological perspectives to examine major themes related to the social and economic development of U.S. Chinatowns and Chinese immigrant communities throughout the 20th and 21st centuries. This course is an activity-based learning course, limited to students who are concurrently participating in a Harvard-affiliated service program in or around Boston&rsquo;s Chinatown. Class discussions and assignments will make active links with students&rsquo; service work.&nbsp;Open to students in all concentrations.",136,SOC-STD 68CT,13592
Authority and Disobedience,"This course examines the relationship between individuals and &lsquo;governing agencies&rsquo;&mdash;most prominently, the state&mdash;from an analytic political-theory perspective. The course is divided into two parts. Part I focuses on theories of legitimate political authority: it considers different answers to the question of what, if anything, grounds states&rsquo;&mdash;and similar entities&rsquo;&mdash;moral right to rule. Part II addresses the dilemmas raised by non-compliance with authority (topics covered might include civil disobedience, punishment, and revolution).",70,GOV 94AO,13267
"Border Politics: Migration, Detention, and Il/legality","This course dwells in under-explored border spaces such as airport waiting zones, undocumented crossings, cross-border protests, and detention centers. US borders with Canada and M&eacute;xico offer comparative platforms for discussion of border politics. Despite efforts to harmonize immigration and refugee/asylum policies, US residents and their neighbors to the north and south face distinct economic, cultural, historical, and political landscapes. Students will explore and interrogate border practices, policies, and struggles and debate contemporary migration politics.",70,GOV 94AM,13052
"The Evolutionary Transition From Dinosaurs To Birds: Fossils, Genomes and Behavior","The transition of dinosaurs to modern birds is one of the most rapidly advancing and increasingly complete records of evolutionary change in the vertebrate fossil record.&nbsp;&nbsp;&nbsp; Additionally it is an excellent model for how science builds on incremental discoveries and undergoes paradigm shifts as new data are collected. We will explore the dinosaurian origins of modern birds through exploration of Harvard&#39;s excellent collections of dinosaur fossils, skeletons and specimens of extant birds, and focused readings and discussions. The goal will be to gain a greater appreciation of dinosaur diversity and to better understand the deep origins of modern bird adaptations.",56,FRSEMR 21R,13116
Islam in Black America,"Much of the study of black religion in the United States has focused on its Christian roots.&nbsp; And, while the predominant impulse of black religious expression in the American context came from Christian worshippers, Muslim adherents were among those first brought to America&rsquo;s shores under the force and violence of slavery.&nbsp; This course explores the history of Islam among African Americans from the ante-bellum period through the present.&nbsp; It looks at significant moments in the development and transformation of Islam in the US through what Sherman Jackson calls its three &ldquo;resurrections.&rdquo; &nbsp; &nbsp;",56,FRSEMR 41H,13075
Sick and Tired of being Sick and Tired: Health Disparities and African Americans,"Since the arrival of Africans from Africa to America, their health and health care has been a critical issue for the nation. From the era of slavery to the present, African Americans have been disproportionately burdened by disease and ill health. Health disparities are the &ldquo;inequalities that occur in the provision of healthcare and access to healthcare across different racial, ethnic and socioeconomic groups.&rdquo; This course examines this issue over the long time frame from the 17th century to the present.&nbsp; Currently, compared to the white population, African Americans are at an overall greater risk for many serious and life threatening diseases.&nbsp; This course will examine how these disparities emerged over time. It will explore the strategies and practices that African Americans employed to improve their health care. It will also examine, the ways that cities, states and the federal government supported or ignored the health of African Americans.",56,FRSEMR 41D,13131
Chance and the Pleasures of Probability,"Probability is a subject that grew up in gambling dens, and yet is most likely (!) the most important aspect of mathematics that will touch your life repeatedly - especially when you least expect it (!).Probabilistic thinking is qualitatively different from the determinism that is typically taught early on in the sciences and elsewhere and yet is much more natural in most situations associated with mundane activities in life. It is also often counter-intuitive - all this means is that we are innately not very good probabilistic thinkers, but clearly can train ourselves to do so.",56,FRSEMR 21Z,13024
